source,target,weight
Training Day,The Blind Side,1
Training Day,The Young Victoria,1
Training Day,The Hurt Locker,2
Training Day,The Secret in Their Eyes,2
Iris,Monster's Ball,2
Iris,A Beautiful Mind,2
Iris,The Lord of the Rings: The Fellowship of the Ring,1
Iris,Black Hawk Down,1
Iris,The Pianist,2
Iris,The Hours,2
Iris,Road to Perdition,1
Iris,Nowhere in Africa,2
Iris,Frida,3
Iris,8 Mile,1
Iris,The Lord of the Rings: The Two Towers,1
Iris,Mystic River,1
Iris,Monster,2
Iris,Cold Mountain,2
Iris,The Lord of the Rings: The Return of the King,1
Iris,Master and Commander: The Far Side of the World,1
Iris,The Barbarian Invasions,2
Iris,Ray,2
Iris,Million Dollar Baby,1
Iris,The Aviator,2
Iris,The Sea Inside,3
Iris,Spider-Man 2,1
Iris,Sideways,2
Iris,Capote,2
Iris,Syriana,1
Iris,Walk the Line,3
Iris,The Constant Gardener,2
Iris,Memoirs of a Geisha,2
Iris,Brokeback Mountain,2
Iris,Crash,1
Iris,Tsotsi,1
Iris,Hustle & Flow,1
Iris,King Kong,2
Iris,The Last King of Scotland,2
Iris,Little Miss Sunshine,1
Iris,The Queen,2
Iris,Dreamgirls,1
Iris,Happy Feet,1
Iris,Pan's Labyrinth,1
Iris,Marie Antoinette,3
Iris,The Departed,1
Iris,The Lives of Others,1
Iris,There Will Be Blood,1
Iris,No Country for Old Men,1
Iris,Michael Clayton,1
Iris,Elizabeth: The Golden Age,2
Iris,Once,2
Iris,Milk,2
Iris,The Dark Knight,1
Iris,The Reader,2
Iris,Vicky Cristina Barcelona,2
Iris,The Curious Case of Benjamin Button,2
Iris,Slumdog Millionaire,2
Iris,The Duchess,3
Iris,Crazy Heart,2
Iris,Inglourious Basterds,1
Iris,The Blind Side,2
Iris,The Young Victoria,3
Iris,The Hurt Locker,1
Iris,The Secret in Their Eyes,1
Monster's Ball,A Beautiful Mind,1
Monster's Ball,The Lord of the Rings: The Fellowship of the Ring,1
Monster's Ball,Black Hawk Down,1
Monster's Ball,The Pianist,1
Monster's Ball,The Hours,2
Monster's Ball,Road to Perdition,1
Monster's Ball,Nowhere in Africa,1
Monster's Ball,Frida,2
Monster's Ball,8 Mile,1
Monster's Ball,The Lord of the Rings: The Two Towers,1
Monster's Ball,Mystic River,1
Monster's Ball,Monster,1
Monster's Ball,Cold Mountain,2
Monster's Ball,The Lord of the Rings: The Return of the King,1
Monster's Ball,Master and Commander: The Far Side of the World,1
Monster's Ball,The Barbarian Invasions,2
Monster's Ball,Ray,1
Monster's Ball,Million Dollar Baby,1
Monster's Ball,The Aviator,1
Monster's Ball,The Sea Inside,2
Monster's Ball,Spider-Man 2,1
Monster's Ball,Sideways,2
Monster's Ball,Capote,1
Monster's Ball,Syriana,1
Monster's Ball,Walk the Line,2
Monster's Ball,The Constant Gardener,2
Monster's Ball,Memoirs of a Geisha,2
Monster's Ball,Brokeback Mountain,2
Monster's Ball,Crash,1
Monster's Ball,Tsotsi,1
Monster's Ball,Hustle & Flow,1
Monster's Ball,King Kong,2
Monster's Ball,The Last King of Scotland,1
